HHID,HV001,HV002,ta_id,urban_rural,HV246A,HV246D,HV246E,HV246G,HV248,HV245,HV271,HV251,HV204,HV206,HV226,HV219,HV243A,HV207,hhlivestock,livestock,sick,land,wealth,orphans,water,electricity,cooking,femalehh,cellphone,radio,urbanruralscore,capacity,na.rm
        1 25,1,25,42,R,0,0,0,0,0,,34632,4,30,0,8,2,1,0,0,0,0.146395382159086,,3.08101690752037,0.0661563024522045,1.03690958993896,0,0.0669887806076488,0,0,0,0,,"0"
        1 27,1,27,42,R,0,0,0,0,0,,-46308,0,30,0,8,1,0,0,0,0,0.146395382159086,,1.7067998526221,0.89916895238875,1.03690958993896,0,0.0669887806076488,1.12465714168748,1.48115989515072,0,0,,"0"
        2  9,2,9,2,R,0,0,0,0,0,,-62195,1,30,0,8,1,0,1,0,0,0.146395382159086,,1.08797641953576,0.47521185573341,1.03690958993896,0,0.0669887806076488,1.12465714168748,1.48115989515072,1.88190008190008,0,,"0"
        2 11,2,11,2,R,0,0,0,0,0,,156114,0,0,0,7,2,1,1,0,0,0.146395382159086,,3.69541900356163,0.89916895238875,3.6336077997624,0,3.62099746130538,0,0,1.88190008190008,0,,"0"
        2 25,2,25,2,R,0,0,0,0,0,,135017,0,15,0,8,1,1,1,0,0,0.146395382159086,,3.63253776558726,0.89916895238875,2.33042480848798,0,0.0669887806076488,1.12465714168748,0,1.88190008190008,0,,"0"
        3  3,3,3,129,R,0,0,0,0,0,,33577,0,10,0,8,1,1,1,0,0,0.146395382159086,,3.07348425922135,0.89916895238875,2.71418622752038,0,0.0669887806076488,1.12465714168748,0,1.88190008190008,0,,"0"
        3  5,3,5,129,R,0,0,0,0,0,,54360,0,6,0,8,1,1,1,0,0,0.146395382159086,,3.24378761206861,0.89916895238875,3.33587317193069,0,0.0669887806076488,1.12465714168748,0,1.88190008190008,0,,"0"
        3  9,3,9,129,R,0,0,0,0,0,,-52369,0,30,0,8,1,0,1,0,0,0.146395382159086,,1.49686821959307,0.89916895238875,1.03690958993896,0,0.0669887806076488,1.12465714168748,1.48115989515072,1.88190008190008,0,,"0"
        3 13,3,13,129,R,0,0,0,0,0,,-59253,0,15,0,8,1,0,1,0,0,0.146395382159086,,1.2139026487084,0.89916895238875,2.33042480848798,0,0.0669887806076488,1.12465714168748,1.48115989515072,1.88190008190008,0,,"0"
        3 16,3,16,129,R,0,0,0,0,0,,30902,0,10,0,8,1,1,1,0,0,0.146395382159086,,3.04597371760757,0.89916895238875,2.71418622752038,0,0.0669887806076488,1.12465714168748,0,1.88190008190008,0,,"0"
        3 18,3,18,129,R,0,0,0,0,0,,-35188,0,20,0,8,1,1,0,0,0,0.146395382159086,,2.01383714741884,0.89916895238875,1.81459178239318,0,0.0669887806076488,1.12465714168748,0,0,0,,"0"
        3 25,3,25,129,R,0,0,0,0,0,,-55041,0,30,0,8,2,0,0,0,0,0.146395382159086,,1.39059237728743,0.89916895238875,1.03690958993896,0,0.0669887806076488,0,1.48115989515072,0,0,,"0"
        3 27,3,27,129,R,0,0,0,0,0,,-10729,0,20,0,8,1,1,1,0,0,0.146395382159086,,2.51000941581037,0.89916895238875,1.81459178239318,0,0.0669887806076488,1.12465714168748,0,1.88190008190008,0,,"0"
        4  6,4,6,23,R,0,0,0,0,0,,-82122,0,60,0,8,1,0,0,0,0,0.146395382159086,,0.212715437835182,0.89916895238875,0.238253246487239,0,0.0669887806076488,1.12465714168748,1.48115989515072,0,0,,"0"
        4 19,4,19,23,R,0,0,0,0,0,,-75119,0,60,0,8,2,0,0,0,0,0.146395382159086,,0.497973553854341,0.89916895238875,0.238253246487239,0,0.0669887806076488,0,1.48115989515072,0,0,,"0"
        5  6,5,6,164,R,0,0,0,0,0,,74407,0,5,0,8,1,1,1,0,0,0.146395382159086,,3.37282515249519,0.89916895238875,3.35586415960018,0,0.0669887806076488,1.12465714168748,0,1.88190008190008,0,,"0"
        5 13,5,13,164,R,0,0,0,0,0,,297392,0,10,1,1,1,1,1,0,0,0.146395382159086,,3.89437917058992,0.89916895238875,2.71418622752038,3.71587926509186,3.94840717385963,1.12465714168748,0,1.88190008190008,0,,"0"
